Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа 3-комнатной квартиры 60,3 м², 8/9 этаж",Москва,ЮЗАО,3,20,16,8.2,60.3,13300000
"Продажа 3-комнатной квартиры 70 м², 18/32 этаж",Москва,СЗАО,3,28,12,6.6,70.0,27349121
"Продажа 2-комнатной квартиры 44 м², 6/9 этаж",Москва,САО,3,20,15,13.9,44.0,11700000
"Продажа 3-комнатной квартиры 75,5 м², 9/22 этаж",Москва,ЮВАО,3,20,12,9.7,75.5,17989536
"Продажа 2-комнатной квартиры 43,2 м², 8/9 этаж",Москва,ЮАО,3,20,9,16.1,43.2,11500000
"Продажа 1-комнатной квартиры 40,8 м², 23/24 этаж",Москва,САО,3,26,6,15.8,40.8,13500000
"Продажа 1-комнатной квартиры 37,6 м², 16/28 этаж",Москва,СВАО,3,27,13,11.7,37.6,12032000
"Продажа 1-комнатной квартиры 42 м², 27/48 этаж",Москва,СЗАО,3,21,11,9.5,42.0,16500000
"Продажа квартиры-студии 27,2 м², 32/33 этаж",Москва,СВАО,3,28,19,10.9,27.2,7449753
"Продажа 2-комнатной квартиры 58,2 м², 10/23 этаж",Москва,САО,3,22,13,12.7,58.2,17392141
"Продажа 1-комнатной квартиры 44 м², 14/21 этаж",Москва,ЗАО,3,28,9,12.2,44.0,13497901
"Продажа 2-комнатной квартиры 48,8 м², 3/9 этаж",Москва,САО,3,20,6,9.1,48.8,17150000
"Продажа 1-комнатной квартиры 38 м², 7/17 этаж",Москва,Новая Москва,3,28,8,24.8,38.0,10600000
"Продажа 2-комнатной квартиры 58 м², 7/17 этаж",Москва,Новая Москва,3,26,17,28.2,58.0,12000000
"Продажа 3-комнатной квартиры 81 м², 8/22 этаж",Москва,СЗАО,3,26,15,10.1,81.0,19500000
"Продажа 2-комнатной квартиры 43 м², 7/12 этаж",Москва,ЦАО,3,15,6,0.0,43.0,23000000
"Продажа 2-комнатной квартиры 58 м², 17/24 этаж",Москва,ЮВАО,3,26,18,13.4,58.0,15200000
"Продажа 1-комнатной квартиры 48 м², 56/81 этаж",Москва,ЦАО,3,12,4,5.6,48.0,35000000
"Продажа 2-комнатной квартиры 53 м², 2/9 этаж",Москва,Новая Москва,3,35,20,24.8,53.0,13000000
